liquid_inlet_conc_mol_comp_H2SO4,solid_inlet_flow_mass,liquid_outlet_flow_vol,liquid_outlet_conc_mass_comp_H,liquid_outlet_conc_mass_comp_HSO4,liquid_outlet_conc_mass_comp_SO4,liquid_outlet_conc_mass_comp_Al,liquid_outlet_conc_mass_comp_Ca,liquid_outlet_conc_mass_comp_Ce,liquid_outlet_conc_mass_comp_Dy,liquid_outlet_conc_mass_comp_Fe,liquid_outlet_conc_mass_comp_Gd,liquid_outlet_conc_mass_comp_La,liquid_outlet_conc_mass_comp_Nd,liquid_outlet_conc_mass_comp_Pr,liquid_outlet_conc_mass_comp_Sc,liquid_outlet_conc_mass_comp_Sm,liquid_outlet_conc_mass_comp_Y,solid_outlet_flow_mass,solid_outlet_mass_frac_comp_Al2O3,solid_outlet_mass_frac_comp_CaO,solid_outlet_mass_frac_comp_Ce2O3,solid_outlet_mass_frac_comp_Dy2O3,solid_outlet_mass_frac_comp_Fe2O3,solid_outlet_mass_frac_comp_Gd2O3,solid_outlet_mass_frac_comp_La2O3,solid_outlet_mass_frac_comp_Nd2O3,solid_outlet_mass_frac_comp_Pr2O3,solid_outlet_mass_frac_comp_Sc2O3,solid_outlet_mass_frac_comp_Sm2O3,solid_outlet_mass_frac_comp_Y2O3,solid_outlet_mass_frac_comp_inerts
0.0,0.0,0.0,0.22689268009436178,0.0743657466918359,0.0,0.0856393276012587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016168186897542625,0.8861305150485634,0.46206300818987067,0.6158213401201786,0.5952574456887483,0.7172201829192799,0.6250192327262964,0.5889335700099241,0.625128066713885,0.5860201692793252,0.6721257606118733,0.637836550706135,0.6413060428300152,0.22331612720215333
0.0,0.9999999999999999,0.02031436514289453,0.0,0.0,0.030086299323784815,0.0,0.8054442571466064,0.3020241064421917,0.3979820737024914,0.04614092457855756,0.07610306598410854,0.43309977300454494,0.23686386021253436,0.4160787235859933,0.09936177212205777,0.2622621432968256,0.24036325256168434,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0000000000000004,0.9999999999999998,1.0,1.0000000000000036,1.0000000000000009,1.0,0.0
1.0,0.0,0.9102899656606951,1.0,0.9999999999999999,0.8374531123173682,1.0,0.08267354520240977,0.3646697427265836,0.32419016509497556,0.6850252065573904,0.4614511838237034,0.28503716329127915,0.4021763940508686,0.28223284183502484,0.6370897590514437,0.4276069444071934,0.4596868012498171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.9999999999999999,1.0,0.46313877505281165,0.5980307773715103,0.9999999999999999,0.8189942356395925,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9816736424979483,0.6935285675425291,0.40420758624447295,0.409952180353792,0.41511107890953625,0.5013692793760454,0.3837272130520816,0.40348496638090614,0.4100554247159105,0.391070963718255,0.4629855893019972,0.43702927824026183,0.4422015303454536,0.42776714755005685
0.871007325240672,0.26018692670799115,0.828014242850486,0.7116012695180273,0.7197495465319038,0.7945785044431543,0.8256572392779045,0.32358703547260614,0.5181330900854403,0.4887469185348482,0.715755481668871,0.5944948593432342,0.46351398948426814,0.5446419022098062,0.4625906396895858,0.6836026512543028,0.5566553961760076,0.5760779083425579,0.2571763893426441,0.4045477279116767,0.14796913284474744,0.1852510092187556,0.18278747595553835,0.2499375627585163,0.1674290087532001,0.1775445145443788,0.18611580108726455,0.17184525148426744,0.2196928060435681,0.2021154716691873,0.2048167642948151,0.6933791568106571
0.02356701334810196,0.05043866182343926,0.024680324085466054,0.22638105962439772,0.08163250614488313,0.02564284545200557,0.09912341161570604,0.04781561901139242,0.03646937902742864,0.03876781321382017,0.027806289721493016,0.030803150418862835,0.03972036464224893,0.034805007180073844,0.03940707023354073,0.029607665385541604,0.03509993300165948,0.03436752857193304,0.06533755957811327,0.8866593921092516,0.4707054487300413,0.6184501003223115,0.5988482269722297,0.7189516687867821,0.6268742130906757,0.5923318658306771,0.627466751668569,0.5890929673394782,0.6743868883870796,0.6405136167311607,0.644027071906832,0.22192557032376925
0.81763710868539,0.8373962747272073,0.8192327658655358,0.4317954891095447,0.49207033149484003,0.8220168735308383,0.6798386119280602,0.8391874428504568,0.8335668470758312,0.8352991102001669,0.8258307894593083,0.8305211898511533,0.8355853385470848,0.8325024547126009,0.8352472496459475,0.8276893303572346,0.832691826020373,0.832168837932345,0.8249914536258608,0.7217391123166337,0.4019593123533225,0.4314336056403354,0.4322431259402224,0.5267705877056565,0.4099882115268416,0.4215064679131295,0.4330196188244775,0.41049329893504094,0.48577853472921717,0.4581294011991828,0.4630162078406883,0.4017630226544284
0.373143383001606,0.7023226157871744,0.3869875470829811,0.2507251500898656,0.20487154298108143,0.3996265060461618,0.31221102860608346,0.6640242159684694,0.5319448035501609,0.5570123163047066,0.42708614669929856,0.4678605873217796,0.5693949978032664,0.5128662225511594,0.5667592033874342,0.448024660581952,0.5143029238107263,0.5051043057384358,0.7000218560665775,0.8717214339367345,0.5452407797858729,0.6143038293076297,0.6072956342560385,0.7074442701806749,0.6101384478170921,0.5980939485245131,0.6193728352043084,0.5901992015830926,0.6674805467494842,0.6380996390643068,0.6423184484450424,0.2333190165471919
0.645314394554074,0.5916023436840722,0.6434613453570819,0.4283946926694515,0.4146747140681638,0.6445791816457666,0.5627040838952206,0.6050145179575895,0.6274086793370183,0.6248951196923406,0.642259535830055,0.6366648401829316,0.6218494202425164,0.6301063433615915,0.6215295336565536,0.6402883211651207,0.6310515713986372,0.6327694594645262,0.5863917367539803,0.7224509511695913,0.36645399209554874,0.42433649842499976,0.420076582776054,0.5229850024419562,0.40737169364279646,0.4106682513436155,0.4274187620201835,0.40152371496147277,0.4793405995259654,0.45023729998148365,0.454713410293456,0.4043672436579513
0.2715336626279019,0.34553916852523303,0.27557709910593076,0.2981071458458783,0.1935555853988741,0.2810354054464397,0.2704993347478428,0.3429269584474798,0.31636812783685253,0.3222961346874941,0.2902592278610614,0.3028680268370235,0.32453249385746474,0.31215083262312204,0.3237342931436529,0.2958575458502122,0.31250587040598166,0.31040852225520654,0.3510393511488906,0.8342402426375557,0.4401341974745492,0.5460262846007717,0.5333204562003111,0.6486291619777695,0.5432711416852545,0.5251923091894128,0.5525533345368119,0.5189162963880047,0.6030918569209867,0.5705419861470142,0.5745903035833972,0.2848312607151655
